Call  Failure,Complains,Subscription  Length,Charge  Amount,Seconds of Use,Frequency of use,Frequency of SMS,Distinct Called Numbers,Tariff Plan,Status,Age,Customer Value,FN,FP,Churn
26,1,35,1,1015,50,21,19,1,1,13,126.6,113.94,62.66,1
24,1,38,9,10495,96,6,44,2,1,1,167.865,151.0785,66.7865,0
16,0,38,2,,101,31,26,1,1,11,408.555,367.6995,90.8555,0
4,0,36,1,2900,25,5,16,1,1,11,137,123.3,63.7,0
12,0,37,1,3050,44,14,18,1,1,9,179.76,161.784,67.976,1
12,1,38,1,-2328,47,39,33,1,1,14,251,225.9,75.1,1
3,0,38,1,193,5,5,4,1,1,14,27.92,25.128,60,1
4,0,38,1,1728,28,5,8,1,1,11,56.4,50.76,60,0
6,0,35,2,6845,-100,19,24,1,1,11,132.675,119.4075,63.2675,0
3,0,38,1,688,10,14,6,1,1,14,52.45,47.205,60,1
3,0,38,2,398,7,-9,4,1,1,0,19.575,17.6175,60,0
28,0,33,4,16135,241,5,82,1,1,11,759.42,683.478,125.942,0
9,1,36,4,7025,119,276,35,2,1,10,1389.76,1250.784,188.976,0
5,0,38,1,3778,85,7,30,1,1,7,182.52,164.268,68.252,0
6,0,37,1,1725,47,43,22,1,1,2,242.88,218.592,74.288,0
9,0,38,1,,56,180,25,1,1,13,940.32,846.288,144.032,0
7,0,29,2,1375,39,198,13,2,1,7,848.56,763.704,134.856,0
7,0,28,1,1628,42,35,70,1,1,8,129.25,116.325,62.925,0
14,0,29,1,760,28,15,9,1,1,6,91.52,82.368,60,0
3,0,28,1,885,13,26,5,1,1,9,87.45,78.705,60,0
13,0,27,1,1285,35,24,15,1,1,15,167.4,150.66,66.74,0
5,0,27,1,3285,64,13,25,1,1,10,185.96,167.364,68.596,0
5,0,20,1,1755,29,33,16,1,1,11,228.78,205.902,72.878,0
19,0,19,2,-6453,144,90,44,2,1,3,701.865,631.6785,120.1865,0
15,0,17,1,8993,174,78,42,1,1,7,254.505,229.0545,75.4505,0
11,0,18,4,2913,48,36,,1,1,8,262.44,236.196,76.244,0
5,0,11,2,4450,43,220,12,1,1,7,1059.72,953.748,155.972,0
6,1,11,2,1548,22,5,9,1,1,9,82.8,74.52,60,1
5,0,36,0,4310,68,0,15,1,1,15,197.01,177.309,69.701,0
0,0,37,0,258,2,2,2,1,1,14,20.7,18.63,60,0
7,0,35,0,2393,57,354,22,1,1,4,1703.25,1532.925,220.325,0
7,0,36.0009,0,4138,63,0,33,1,1,0,231.055,207.9495,73.1055,0
0,0,36.0009,0,2333,55,0,31,1,1,5,131.34,118.206,63.134,0
8,0,36.0009,0,3715,79,27,26,1,1,7,259.76,233.784,75.976,0
1,0,36.0009,0,2300,36,280,16,1,1,14,1213.44,1092.096,171.344,0
10,0,35,1,9055,118,139,41,1,1,9,922.92,830.628,142.292,0
4,0,36,0,13713,166,0,42,1,1,8,555.16,499.644,105.516,0
4,0,36,0,4455,80,0,23,1,1,0,181.4,163.26,68.14,0
3,0,36,0,5858,92,2,10,1,1,9,276.75,249.075,77.675,0
6,1,36,0,2178,51,3,15,1,1,15,101.16,91.044,60.116,0
22,0,36,2,15080,222,49,30,1,1,14,808.08,727.272,130.808,0
1,0,36,0,,24,478,6,1,1,1,2034.36,1830.924,253.436,0
6,0,35,0,15425,179,145,28,1,1,9,1354.68,1219.212,185.468,0
0,0,35,0,6440,83,181,24,1,1,12,984.92,886.428,148.492,0
0,0,35,0,815,11,0,9,1,1,11,37.17,33.453,60,0
0,0,36,0,650,11,8,6,1,1,8,65.745,59.1705,60,0
0,0,35,0,0,,0,0,1,1,13,,0,60,1
0,0,35,0,7448,124,379,41,1,1,1,2046.24,1841.616,254.624,0
4,0,35,0,11405,151,6,45,1,1,12,486.24,437.616,98.624,0
5,0,35,0,6658,72,103,35,1,1,12,766.35,689.715,126.635,0
20,0,31,0,895,44,11,15,1,1,13,91.755,82.5795,60,1
18,0,34,7,10375,90,0,40,1,1,29,261.625,235.4625,76.1625,0
10,0,34,0,5758,95,21,22,1,1,28,357.885,322.0965,85.7885,1
0,0,32,0,2780,19,0,12,1,1,21,111.96,100.764,61.196,0
6,0,33,0,,38,4,14,1,1,19,151.56,136.404,65.156,1
6,1,34,0,2208,41,29,29,1,1,21,205.96,185.364,70.596,1
0,-1,34,0,0,0,0,0,1,1,16,,0,60,1
0,0,34,0,1608,22,0,4,1,1,27,65.2,58.68,60,0
0,0,31,0,6725,94,9,20,1,1,24,192.975,173.6775,69.2975,0
0,0,34,0,568,4,4,2,1,1,24,24.3,21.87,60,1
0,0,34,0,0,0,0,0,1,1,20,,0,60,0
22,0,29,2,16015,235,0,78,1,1,19,731.25,658.125,123.125,0
3,0,32,2,6905,113,266,31,2,1,17,1512.81,1361.529,201.281,0
0,0,34,0,3658,79,,26,1,1,29,168.165,151.3485,66.8165,0
0,0,33,0,1605,41,33,18,1,1,18,197.84,178.056,69.784,0
3,0,34,0,2720,50,170,,1,1,27,889.65,800.685,138.965,0
1,0,25,0,1255,33,188,9,2,1,18,903.96,813.564,140.396,0
1,0,24,0,1508,36,25,66,1,1,18,101.1,90.99,60.11,0
8,0,25,0,640,22,5,5,1,1,20,52.29,47.061,60,0
O,1,,0,765,7,16,1,1,1,20,59.3,53.37,60,1
7,0,23,0,1165,29,14,11,1,1,26,116.73,105.057,61.673,0
0,0,23,0,3165,58,3,21,1,1,28,140.92,126.828,64.092,0
0,0,16,0,1635,23,23,12,1,1,22,178.11,160.299,67.811,0
13,0,15,0,6333,138,80,40,2,1,27,795.905,716.3145,129.5905,0
9,0,13,0,8873,168,68,38,1,1,26,396.025,356.4225,89.6025,0
5,0,14,2,2793,42,26,17,1,1,25,217.4,195.66,71.74,0
0,0,7,0,4330,37,210,8,1,1,23,1014.68,913.212,151.468,0
o,0,7,0,1428,16,,5,1,1,20,57.76,51.984,60,1
9,0,42,1,4450,73,15,21,1,1,20,240.92,216.828,74.092,0
1,1,43,0,398,7,17,8,1,1,21,84.2,75.78,60,1
11,0,41,1,2533,62,369,28,1,1,28,1579.8,1421.82,207.98,0
11,0,42,1,4278,68,11,39,1,1,28,299.53,269.577,79.953,0
4,0,42,1,2473,60,12,37,1,1,25,167.985,151.1865,66.7985,0
12,0,42,2,3855,84,42,32,1,1,29,325.56,293.004,82.556,0
5,0,42,1,2440,41,295,22,1,1,22,1279.24,1151.316,177.924,0
14,0,41,3,9195,123,154,47,1,1,19,988.72,889.848,148.872,0
8,0,42,1,13853,171,10,48,1,1,22,600.96,540.864,110.096,0
8,0,42,2,,85,12,29,1,1,18,235.2,211.68,73.52,0
7,0,42,1,5998,97,17,16,1,1,16,311.8,280.62,81.18,0
10,0,42,0,2318,56,18,21,1,1,20,166.96,150.264,66.696,0
26,0,42,4,15220,227,64,36,2,1,27,873.88,786.492,137.388,0
5,0,42,2,3175,29,493,12,1,1,20,2100.16,1890.144,260.016,0
10,0,41,1,15565,184,160,34,1,1,21,1428.705,1285.8345,192.8705,0
4,0,41,2,6580,88,196,30,1,1,24,1050.72,945.648,155.072,0
1,0,41,0,955,16,10,15,1,1,16,88.695,79.8255,60,0
3,0,42,0,790,16,23,12,1,1,29,124.24,111.816,62.424,0
1,0,41,0,80,2,10,4,1,1,18,48.69,43.821,60,1
4,0,41,1,7588,129,394,47,1,1,28,1884.68,1696.212,238.468,0
8,0,41,2,11545,156,21,51,1,1,20,345.025,310.5225,84.5025,0
9,0,41,2,6798,77,118,41,1,1,27,840.375,756.3375,134.0375,0
24,1,37,0,1035,49,26,21,1,1,21,147.36,132.624,64.736,1
22,1,40,9,10515,95,11,46,1,1,16,175.65,158.085,67.565,0
14,0,,2,5898,100,36,28,1,1,22,431.91,388.719,93.191,1
2,0,38,1,2920,24,10,18,1,1,27,157.76,141.984,65.776,0
10,0,39,0,3070,43,19,20,1,1,21,200.52,180.468,70.052,1
10,1,40,0,2348,46,44,35,1,1,24,271.76,244.584,77.176,1
1,0,40,0,213,-4,10,6,1,1,27,48.68,43.812,60,1
2,0,40,1,1748,27,10,10,1,1,22,69.375,62.4375,60,0
4,0,37,2,6865,99,24,26,1,1,16,140.46,126.414,64.046,0
1,1,40,0,708,9,19,8,1,1,18,65.425,58.8825,60,1
1,0,40,2,418,6,14,6,1,1,26,27.36,24.624,60,0
26,0,35,4,16155,240,10,84,1,1,23,782.775,704.4975,128.2775,0
7,1,38,4,-7045,118,281,37,2,1,28,1586.835,1428.1515,208.6835,0
3,0,40,1,3798,84,12,32,1,1,23,203.28,182.952,70.328,0
4,0,39,0,1745,46,48,24,1,1,24,263.64,237.276,76.364,0
7,0,40,1,2860,55,185,27,1,1,19,963.675,867.3075,146.3675,0
5,0,31,2,1395,38,203,15,2,1,28,977.985,880.1865,147.7985,0
5,0,30,1,1648,41,40,72,1,1,23,142.225,128.0025,64.2225,0
12,0,31,0,780,27,20,11,1,1,27,112.28,101.052,61.228,0
1,0,30,0,905,12,31,7,1,1,24,100.425,90.3825,60.0425,0
11,0,29,1,1305,34,29,17,1,1,24,190.755,171.6795,69.0755,0
3,0,29,1,3305,63,18,27,1,1,28,206.72,186.048,70.672,0
3,0,22,1,1775,28,38,18,1,1,25,252.135,226.9215,75.2135,0
17,0,21,2,6473,143,95,46,2,1,21,725.22,652.698,122.522,0
13,0,19,1,9013,173,83,44,1,1,25,262.29,236.061,76.229,0
9,0,20,4,2933,47,41,23,1,1,16,283.2,254.88,78.32,0
3,0,13,2,4470,42,225,14,1,1,16,1080.48,972.432,158.048,0
4,0,13,2,1568,21,10,11,1,1,20,103.56,93.204,60.356,1
7,0,34,0,4290,69,0,13,1,1,27,196.155,176.5395,69.6155,0
0,0,35,0,0,0,0,0,1,1,25,,0,60,0
9,0,33,0,2373,58,349,20,1,1,18,1679.895,1511.9055,217.9895,0
9,0,34,0,4118,64,0,31,1,1,21,230.01,207.009,73.001,0
2,0,34,0,-2313,56,0,29,1,1,23,130.295,117.2655,63.0295,0
10,0,34,0,3695,80,22,24,1,1,28,239,215.1,73.9,0
3,0,34,0,2280,37,275,14,1,1,24,1192.68,1073.412,169.268,0
12,0,33,1,9035,119,134,39,1,1,20,902.16,811.944,140.216,0
6,0,34,0,13693,167,0,40,1,1,16,554.4,498.96,105.44,0
6,0,34,0,4435,81,0,21,1,1,24,180.64,162.576,68.064,0
5,0,34,0,5838,93,0,8,1,1,25,266.895,240.2055,76.6895,0
8,0,34,0,2158,52,0,13,1,1,16,88.4,79.56,60,0
24,0,34,2,15060,223,44,28,1,1,20,787.32,708.588,128.732,0
3,0,34,0,3015,25,473,4,1,1,21,2013.6,1812.24,251.36,0
8,0,33,0,15405,180,140,26,1,1,25,1331.325,1198.1925,183.1325,0
2,0,33,0,6420,84,176,22,1,1,25,964.16,867.744,146.416,0
0,0,33,0,795,12,0,7,1,1,22,36.315,32.6835,60,0
1,0,34,0,630,12,3,4,1,1,27,42.39,38.151,60,0
0,0,33,0,0,0,0,0,1,1,18,,0,60,1
2,0,33,0,7428,125,374,39,1,1,26,2022.885,1820.5965,252.2885,0
6,0,33,0,11385,152,1,43,1,1,220,465.48,418.932,96.548,0
7,0,33,0,6638,73,98,33,1,1,24,742.995,668.6955,124.2995,0
22,0,29,0,875,45,6,13,1,1,19,68.4,61.56,60,1
20,0,32,7,10355,91,0,38,1,1,26,261.15,235.035,76.115,0
12,1,32,0,5738,96,16,20,1,1,26,334.53,301.077,83.453,1
0,0,30,0,2760,20,0,10,1,1,20,111.2,100.08,61.12,0
8,1,31,0,2910,39,0,12,1,1,18,117.96,106.164,61.796,1
8,0,32,0,2188,42,24,27,1,1,22,185.2,166.68,68.52,1
0,11,32,0,0,0,0,0,1,1,21,,0,60,1
ooo,0,32,0,1588,23,0,2,1,1,26,64.44,57.996,60,0
2,0,29,0,6705,95,4,18,1,1,28,180,162,68,0
0,0,32,0,0,0,0,0,1,1,27,,0,60,1
0,0,32,0,0,,0,0,1,1,24,,0,60,0
24,0,27,2,15995,236,0,76,1,1,17,730.395,657.3555,123.0395,0
5,0,30,2,6885,114,261,29,2,1,25,1489.455,1340.5095,198.9455,0
1,0,32,0,3638,80,0,24,1,1,26,167.31,150.579,66.731,0
2,0,31,0,1585,42,28,16,1,1,20,177.08,159.372,67.708,0
5,0,32,0,2700,51,165,19,1,1,24,866.295,779.6655,136.6295,0
3,0,23,0,1235,34,183,7,2,1,27,880.605,792.5445,138.0605,0
3,0,22,0,1488,37,20,64,1,1,16,88.125,79.3125,60,0
10,0,23,0,620,23,0,3,1,1,24,28.935,26.0415,60,0
,0,22,0,0,0,11,0,1,1,26,27.5,24.75,60,0
9,0,21,0,1145,30,9,9,1,1,28,93.375,84.0375,60,0
1,0,21,0,3145,59,0,19,1,1,17,128.16,115.344,62.816,0
1,0,14,0,1615,24,18,10,1,1,16,154.755,139.2795,65.4755,0
15,0,13,0,6313,139,75,38,2,1,18,767.36,690.624,126.736,0
11,0,11,0,8853,169,63,36,1,1,29,383.05,344.745,88.305,0
7,0,12,2,2773,43,21,15,1,1,20,196.64,176.976,69.664,0
1,0,5,0,4310,38,205,6,1,1,24,993.92,894.528,149.392,0
2,0,5,0,1408,17,0,3,1,1,21,57,51.3,60,1
13,0,44,1,4630,81,20,23,1,1,19,268.44,241.596,76.844,0
5,0,45,0,578,15,22,10,1,1,27,111.72,100.548,61.172,0
15,0,43,1,2713,70,374,30,1,1,17,1607.32,1446.588,210.732,0
15,0,44,1,4458,76,16,41,1,1,20,337.37,303.633,83.737,0
8,0,44,1,2653,68,17,39,1,1,25,198.945,179.0505,69.8945,0
16,0,44,2,4035,92,47,34,1,1,25,353.08,317.772,85.308,0
9,0,44,1,2620,49,300,24,1,1,18,1306.76,1176.084,180.676,0
18,0,43,3,9375,131,159,49,1,1,26,1016.24,914.616,151.624,0
12,0,44,1,,179,15,50,1,1,27,628.48,565.632,112.848,0
12,0,44,2,4775,93,17,31,1,1,28,262.72,236.448,76.272,0
11,0,44,1,6178,105,22,18,1,1,24,339.32,305.388,83.932,0
14,1,44,0,2498,64,23,23,1,1,21,194.48,175.032,69.448,0
30,0,44,4,15400,235,69,38,1,1,21,901.4,811.26,140.14,0
9,0,44,2,3355,37,498,14,1,1,26,2127.68,1914.912,262.768,0
14,0,43,1,15745,192,165,36,1,1,28,1459.665,1313.6985,195.9665,0
8,0,43,2,6760,96,201,32,1,1,25,1078.24,970.416,157.824,0
5,0,43,0,1135,24,15,17,1,1,20,119.655,107.6895,61.9655,0
7,0,44,0,970,24,28,14,1,1,18,151.76,136.584,65.176,0
5,0,43,0,260,10,15,6,1,1,22,79.65,71.685,60,1
8,0,43,1,7768,137,399,49,1,1,28,1912.2,1720.98,241.22,0
12,0,43,2,11725,164,26,53,1,1,19,362.225,326.0025,86.2225,0
13,0,43,2,6978,85,123,43,1,1,19,871.335,784.2015,137.1335,0
28,1,39,0,1215,57,31,23,1,1,28,174.88,157.392,67.488,1
26,0,42,9,10695,103,16,48,2,1,21,185.97,167.373,68.597,0
18,0,42,2,6078,108,41,30,1,1,26,462.87,416.583,96.287,0
6,0,40,1,3100,32,15,20,1,1,28,185.28,166.752,68.528,0
14,1,41,0,3250,51,24,22,1,1,20,228.04,205.236,72.804,1
14,1,42,0,2528,54,49,37,1,1,20,187.05,168.345,68.705,1
5,0,42,0,393,12,15,8,1,1,27,76.2,68.58,60,1
6,0,42,1,1928,35,15,12,1,1,20,86.575,77.9175,60,0
8,0,39,2,7045,107,29,28,1,1,26,150.78,135.702,65.078,0
5,0,42,0,888,17,24,10,1,1,18,82.625,74.3625,60,1
5,0,42,2,,14,19,8,1,1,26,37.68,33.912,60,0
30,1,37,4,16335,248,15,86,1,1,20,813.735,732.3615,131.3735,0
11,1,40,4,7225,126,286,39,2,1,20,1438.04,1294.236,193.804,0
7,0,42,1,3978,92,17,34,1,1,26,230.8,207.72,73.08,0
8,0,41,0,1925,54,53,26,1,1,23,291.16,262.044,79.116,0
11,0,42,1,3040,63,190,29,1,1,23,994.635,895.1715,149.4635,0
9,0,33,2,1575,46,208,17,2,1,23,896.84,807.156,139.684,0
9,0,32,1,1828,49,45,74,1,1,27,95.655,86.0895,60,0
16,0,33,0,960,35,25,13,1,1,17,139.8,125.82,63.98,0
5,0,32,0,1085,20,36,9,1,1,25,117.625,105.8625,61.7625,0
15,0,31,1,1485,42,34,19,1,1,27,221.715,199.5435,72.1715,0
7,0,31,1,3485,71,23,29,1,1,28,234.24,210.816,73.424,0
7,0,24,1,1955,36,43,20,1,1,21,251.64,226.476,75.164,0
21,0,23,2,6653,151,100,48,2,1,24,756.18,680.562,125.618,0
17,0,21,1,9193,181,88,46,1,1,18,272.61,245.349,77.261,0
13,0,22,4,3113,55,46,25,1,1,27,310.72,279.648,81.072,0
7,0,15,2,4650,50,230,16,1,1,20,1108,997.2,160.8,0
8,1,15,2,1748,29,15,13,1,1,28,131.08,117.972,63.108,1
3,0,32,0,4110,61,0,11,1,1,16,187.695,168.9255,68.7695,0
,0,33,0,0,0,0,0,1,1,26,,0,60,0
5,0,31,0,2193,50,344,18,1,1,20,1648.935,1484.0415,214.8935,0
5,0,32,0,3938,56,0,29,1,1,29,219.67,197.703,71.967,0
,0,32,0,2133,48,0,27,1,1,18,119.955,107.9595,61.9955,0
6,0,32,0,3515,72,17,22,1,1,16,237.915,214.1235,73.7915,0
,0,32,0,2100,29,270,12,1,1,17,1165.16,1048.644,166.516,0
8,0,31,1,8855,111,129,37,1,1,23,874.64,787.176,137.464,0
2,0,32,0,13513,159,0,38,1,1,23,546.88,492.192,104.688,0
2,0,32,0,4255,73,0,19,1,1,26,173.12,155.808,67.312,0
1,0,32,0,5658,85,0,6,1,1,25,258.435,232.5915,75.8435,0
4,0,32,0,1978,44,0,11,1,1,23,80.88,72.792,60,0
20,0,32,2,14880,215,39,26,1,1,19,759.8,683.82,125.98,0
,0,32,0,2835,17,468,2,1,1,27,1986.08,1787.472,248.608,0
4,0,31,0,15225,172,135,24,1,1,24,1300.365,1170.3285,180.0365,0
,0,31,0,6240,76,171,20,1,1,21,936.64,842.976,143.664,0
,0,31,0,615,4,0,5,1,1,18,27.855,25.0695,60,0
0,0,32,0,450,4,0,2,1,1,29,20.43,18.387,60,0
0,0,31,0,0,,0,0,1,1,16,,0,60,1
0,0,31,0,7248,117,369,37,1,1,24,1991.925,1792.7325,249.1925,0
2,0,31,0,11205,144,,41,1,1,21,453.96,408.564,95.396,0
3,0,31,0,6458,65,93,31,1,1,23,712.035,640.8315,121.2035,0
18,1,27,0,695,37,1,11,1,1,24,37.44,33.696,60,1
16,0,30,7,10175,83,0,36,1,1,28,256.45,230.805,75.645,0
8,1,30,0,5558,88,11,18,1,1,23,303.57,273.213,80.357,1
0,0,28,0,2580,12,0,8,1,1,23,103.68,93.312,60.368,0
4,0,29,0,2730,31,0,10,1,1,23,124.245,111.8205,62.4245,1
4,1,30,0,2008,34,19,25,1,1,18,157.68,141.912,65.768,1
0,0,30,0,0,0,0,0,1,1,27,,0,60,1
0,0,30,0,0,0,0,0,1,1,17,,0,60,0
0.000001,0,27,0,6525,87,0,16,1,1,19,165.3,148.77,66.53,0
0,1,30,0,0,0,0,0,1,1,29,,0,60,1
,1,30,0,0,0,0,0,1,1,28,,0,60,1
20,0,25,2,15815,228,0,74,1,1,28,721.935,649.7415,122.1935,0
1,0,28,2,6705,106,256,27,2,1,22,1458.495,1312.6455,195.8495,0
0,0,30,0,3458,72,0,22,1,1,20,158.85,142.965,65.885,0
0,0,29,0,1405,34,23,14,1,1,19,149.56,134.604,64.956,0
1,0,30,0,2520,43,160,17,1,1,25,835.335,751.8015,133.5335,0
0,0,21,0,1055,26,178,5,2,1,28,849.645,764.6805,134.9645,0
0,0,20,0,1308,29,15,62,1,1,21,70.925,63.8325,60,0
6,0,21,0,440,15,0,1,1,1,29,20.475,18.4275,60,0
0,0,20,0,0,0,6,0,1,1,22,15,13.5,60,0
5,0,19,0,965,22,4,7,1,1,17,62.415,56.1735,60,0
0,0,19,0,2965,51,0,17,1,1,18,120.64,108.576,62.064,0
0,0,12,0,,16,13,8,1,1,18,123.795,111.4155,62.3795,0
11,0,11,0,6133,131,70,36,2,1,17,729.52,656.568,122.952,0
7,0,9,0,8673,161,58,34,1,1,24,365.85,329.265,86.585,0
3,0,10,2,2593,35,16,13,1,1,16,169.12,152.208,66.912,0
0,0,3,0,4130,30,200,4,1,1,21,966.4,869.76,146.64,0
0,-112,3,0,1228,9,0,1,1,1,17,55.665,50.0985,60,1
10,0,41,0,4550,79,16,22,1,1,21,249.16,224.244,74.916,0
2,0,42,0,498,13,18,9,1,1,22,103.995,93.5955,60.3995,0
12,0,40,0,2633,68,370,29,1,1,23,1588.04,1429.236,208.804,0
12,0,41,0,4378,74,12,40,1,1,22,310.86,279.774,81.086,0
5,0,41,0,2573,66,13,38,1,1,20,216.645,194.9805,71.6645,0
13,0,41,1,3955,90,43,33,1,1,26,333.8,300.42,83.38,0
6,0,41,0,2540,47,296,23,1,1,18,1287.48,1158.732,178.748,0
15,0,40,2,9295,129,155,48,1,1,17,996.96,897.264,149.696,0
9,0,41,0,-13953,177,11,49,1,1,25,609.2,548.28,110.92,0
9,0,41,1,4695,91,13,30,1,1,233,243.44,219.096,74.344,0
8,0,41,0,6098,103,18,17,1,1,27,320.04,288.036,82.004,0
11,0,41,0,2418,62,19,22,1,1,23,175.2,157.68,67.52,0
27,0,41,3,15320,233,65,37,1,1,24,882.12,793.908,138.212,0
6,0,41,1,3275,35,494,13,1,1,17,2108.4,1897.56,260.84,0
11,0,40,0,15665,190,161,35,1,1,20,1437.975,1294.1775,193.7975,0
5,0,40,1,6680,94,197,31,1,1,22,1058.96,953.064,155.896,0
2,0,40,0,1055,22,11,16,1,1,18,97.965,88.1685,60,0
4,0,41,0,890,22,24,13,1,1,29,132.48,119.232,63.248,0
2,0,40,0,180,8,11,5,1,1,26,57.96,52.164,60,1
5,0,40,0,7688,135,395,48,1,1,28,2129.535,1916.5815,262.9535,0
9,0,40,1,11645,162,22,52,1,1,20,350.175,315.1575,85.0175,0
10,0,40,1,6898,83,119,42,1,1,27,849.645,764.6805,134.9645,0
25,1,36,0,1135,55,27,22,1,1,17,175.05,157.545,67.505,1
23,0,39,8,10615,101,12,47,1,1,23,178.74,160.866,67.874,0
