complains,subs_len,charge_amount,seconds_of_use,freq_of_use,freq_of_sms,distinct_call_nums,tariff_plan,status,age,customer_value,Churn
0,32,0,2780,19.0,0.0,12.0,1,1,21,111.96,0
0,33,0,0,38.0,4.0,14.0,1,1,19,151.56,1
1,34,0,2208,41.0,29.0,29.0,1,1,21,205.96,1
1,34,0,0,0.0,0.0,0.0,1,1,16,0.0,1
0,34,0,1608,22.0,0.0,4.0,1,1,27,65.2,0
0,31,0,6725,94.0,9.0,20.0,1,1,24,192.975,0
0,34,0,568,4.0,4.0,2.0,1,1,24,24.3,1
0,34,0,0,0.0,0.0,0.0,1,1,20,0.0,0
0,29,2,16015,235.0,0.0,78.0,1,1,19,731.25,0
0,32,2,6905,113.0,266.0,31.0,2,1,17,1512.81,0
0,34,0,3658,79.0,73.26223776223776,26.0,1,1,29,168.165,0
0,33,0,1605,41.0,33.0,18.0,1,1,18,197.84,0
0,34,0,2720,50.0,170.0,23.50254129606099,1,1,27,889.65,0
0,25,0,1255,33.0,188.0,9.0,2,1,18,903.96,0
0,24,0,1508,36.0,25.0,66.0,1,1,18,101.1,0
0,25,0,640,22.0,5.0,5.0,1,1,20,52.29,0
1,32,0,765,7.0,16.0,1.0,1,1,20,59.3,1
0,23,0,1165,29.0,14.0,11.0,1,1,26,116.73,0
0,23,0,3165,58.0,3.0,21.0,1,1,28,140.92,0
0,16,0,1635,23.0,23.0,12.0,1,1,22,178.11,0
0,15,0,6333,138.0,80.0,40.0,2,1,27,795.905,0
0,13,0,8873,168.0,68.0,38.0,1,1,26,396.025,0
0,14,2,2793,42.0,26.0,17.0,1,1,25,217.4,0
0,7,0,4330,37.0,210.0,8.0,1,1,23,1014.68,0
0,7,0,1428,16.0,73.26223776223776,5.0,1,1,20,57.76,1
0,42,1,4450,73.0,15.0,21.0,1,1,20,240.92,0
1,43,0,398,7.0,17.0,8.0,1,1,21,84.2,1
0,41,1,2533,62.0,369.0,28.0,1,1,28,1579.8,0
0,42,1,4278,68.0,11.0,39.0,1,1,28,299.53,0
0,42,1,2473,60.0,12.0,37.0,1,1,25,167.985,0
0,42,2,3855,84.0,42.0,32.0,1,1,29,325.56,0
0,42,1,2440,41.0,295.0,22.0,1,1,22,1279.24,0
0,41,3,9195,123.0,154.0,47.0,1,1,19,988.72,0
0,42,1,13853,171.0,10.0,48.0,1,1,22,600.96,0
0,42,2,0,85.0,12.0,29.0,1,1,18,235.2,0
0,42,1,5998,97.0,17.0,16.0,1,1,16,311.8,0
0,42,0,2318,56.0,18.0,21.0,1,1,20,166.96,0
0,42,4,15220,227.0,64.0,36.0,2,1,27,873.88,0
0,42,2,3175,29.0,493.0,12.0,1,1,20,2100.16,0
0,41,1,15565,184.0,160.0,34.0,1,1,21,1428.705,0
0,41,2,6580,88.0,196.0,30.0,1,1,24,1050.72,0
0,41,0,955,16.0,10.0,15.0,1,1,16,88.695,0
0,42,0,790,16.0,23.0,12.0,1,1,29,124.24,0
0,41,0,80,2.0,10.0,4.0,1,1,18,48.69,1
0,41,1,7588,129.0,394.0,47.0,1,1,28,1884.68,0
0,41,2,11545,156.0,21.0,51.0,1,1,20,345.025,0
0,41,2,6798,77.0,118.0,41.0,1,1,27,840.375,0
1,37,0,1035,49.0,26.0,21.0,1,1,21,147.36,1
1,40,9,10515,95.0,11.0,46.0,1,1,16,175.65,0
0,32,2,5898,100.0,36.0,28.0,1,1,22,431.91,1
0,38,1,2920,24.0,10.0,18.0,1,1,27,157.76,0
0,39,0,3070,43.0,19.0,20.0,1,1,21,200.52,1
1,40,0,2348,46.0,44.0,35.0,1,1,24,271.76,1
0,40,0,213,4.0,10.0,6.0,1,1,27,48.68,1
0,40,1,1748,27.0,10.0,10.0,1,1,22,69.375,0
0,37,2,6865,99.0,24.0,26.0,1,1,16,140.46,0
1,40,0,708,9.0,19.0,8.0,1,1,18,65.425,1
0,40,2,418,6.0,14.0,6.0,1,1,26,27.36,0
0,35,4,16155,240.0,10.0,84.0,1,1,23,782.775,0
1,38,4,7045,118.0,281.0,37.0,2,1,28,1586.835,0
0,40,1,3798,84.0,12.0,32.0,1,1,23,203.28,0
0,39,0,1745,46.0,48.0,24.0,1,1,24,263.64,0
0,40,1,2860,55.0,185.0,27.0,1,1,19,963.675,0
0,31,2,1395,38.0,203.0,15.0,2,1,28,977.985,0
0,30,1,1648,41.0,40.0,72.0,1,1,23,142.225,0
0,31,0,780,27.0,20.0,11.0,1,1,27,112.28,0
0,30,0,905,12.0,31.0,7.0,1,1,24,100.425,0
0,29,1,1305,34.0,29.0,17.0,1,1,24,190.755,0
0,29,1,3305,63.0,18.0,27.0,1,1,28,206.72,0
0,22,1,1775,28.0,38.0,18.0,1,1,25,252.135,0
0,21,2,6473,143.0,95.0,46.0,2,1,21,725.22,0
0,19,1,9013,173.0,83.0,44.0,1,1,25,262.29,0
0,20,4,2933,47.0,41.0,23.0,1,1,16,283.2,0
0,13,2,4470,42.0,225.0,14.0,1,1,16,1080.48,0
0,13,2,1568,21.0,10.0,11.0,1,1,20,103.56,1
0,34,0,4290,69.0,0.0,13.0,1,1,27,196.155,0
0,35,0,0,0.0,0.0,0.0,1,1,25,0.0,0
0,33,0,2373,58.0,349.0,20.0,1,1,18,1679.895,0
0,34,0,4118,64.0,0.0,31.0,1,1,21,230.01,0
0,34,0,2313,56.0,0.0,29.0,1,1,23,130.295,0
0,34,0,3695,80.0,22.0,24.0,1,1,28,239.0,0
0,34,0,2280,37.0,275.0,14.0,1,1,24,1192.68,0
0,33,1,9035,119.0,134.0,39.0,1,1,20,902.16,0
0,34,0,13693,167.0,0.0,40.0,1,1,16,554.4,0
0,34,0,4435,81.0,0.0,21.0,1,1,24,180.64,0
0,34,0,5838,93.0,0.0,8.0,1,1,25,266.895,0
0,34,0,2158,52.0,0.0,13.0,1,1,16,88.4,0
0,34,2,15060,223.0,44.0,28.0,1,1,20,787.32,0
0,34,0,3015,25.0,473.0,4.0,1,1,21,2013.6,0
0,33,0,15405,180.0,140.0,26.0,1,1,25,1331.325,0
0,33,0,6420,84.0,176.0,22.0,1,1,25,964.16,0
0,33,0,795,12.0,0.0,7.0,1,1,22,36.315,0
0,34,0,630,12.0,3.0,4.0,1,1,27,42.39,0
0,33,0,0,0.0,0.0,0.0,1,1,18,0.0,1
0,33,0,7428,125.0,374.0,39.0,1,1,26,2022.885,0
0,33,0,11385,152.0,1.0,43.0,1,1,35,465.48,0
0,33,0,6638,73.0,98.0,33.0,1,1,24,742.995,0
0,29,0,875,45.0,6.0,13.0,1,1,19,68.4,1
0,32,7,10355,91.0,0.0,38.0,1,1,26,261.15,0
1,32,0,5738,96.0,16.0,20.0,1,1,26,334.53,1
0,30,0,2760,20.0,0.0,10.0,1,1,20,111.2,0
1,31,0,2910,39.0,0.0,12.0,1,1,18,117.96,1
0,32,0,2188,42.0,24.0,27.0,1,1,22,185.2,1
1,32,0,0,0.0,0.0,0.0,1,1,21,0.0,1
0,32,0,1588,23.0,0.0,2.0,1,1,26,64.44,0
0,29,0,6705,95.0,4.0,18.0,1,1,28,180.0,0
0,32,0,0,0.0,0.0,0.0,1,1,27,0.0,1
0,32,0,0,69.49568827850527,0.0,0.0,1,1,24,0.0,0
0,27,2,15995,236.0,0.0,76.0,1,1,17,730.395,0
0,30,2,6885,114.0,261.0,29.0,2,1,25,1489.455,0
0,32,0,3638,80.0,0.0,24.0,1,1,26,167.31,0
0,31,0,1585,42.0,28.0,16.0,1,1,20,177.08,0
0,32,0,2700,51.0,165.0,19.0,1,1,24,866.295,0
0,23,0,1235,34.0,183.0,7.0,2,1,27,880.605,0
0,22,0,1488,37.0,20.0,64.0,1,1,16,88.125,0
0,23,0,620,23.0,0.0,3.0,1,1,24,28.935,0
0,22,0,0,0.0,11.0,0.0,1,1,26,27.5,0
0,21,0,1145,30.0,9.0,9.0,1,1,28,93.375,0
0,21,0,3145,59.0,0.0,19.0,1,1,17,128.16,0
0,14,0,1615,24.0,18.0,10.0,1,1,16,154.755,0
0,13,0,6313,139.0,75.0,38.0,2,1,18,767.36,0
0,11,0,8853,169.0,63.0,36.0,1,1,29,383.05,0
0,12,2,2773,43.0,21.0,15.0,1,1,20,196.64,0
0,5,0,4310,38.0,205.0,6.0,1,1,24,993.92,0
0,5,0,1408,17.0,0.0,3.0,1,1,21,57.0,1
0,44,1,4630,81.0,20.0,23.0,1,1,19,268.44,0
0,45,0,578,15.0,22.0,10.0,1,1,27,111.72,0
0,43,1,2713,70.0,374.0,30.0,1,1,17,1607.32,0
0,44,1,4458,76.0,16.0,41.0,1,1,20,337.37,0
0,44,1,2653,68.0,17.0,39.0,1,1,25,198.945,0
0,44,2,4035,92.0,47.0,34.0,1,1,25,353.08,0
0,44,1,2620,49.0,300.0,24.0,1,1,18,1306.76,0
0,43,3,9375,131.0,159.0,49.0,1,1,26,1016.24,0
0,44,1,0,179.0,15.0,50.0,1,1,27,628.48,0
0,44,2,4775,93.0,17.0,31.0,1,1,28,262.72,0
0,44,1,6178,105.0,22.0,18.0,1,1,24,339.32,0
1,44,0,2498,64.0,23.0,23.0,1,1,21,194.48,0
0,44,4,15400,235.0,69.0,38.0,1,1,21,901.4,0
0,44,2,3355,37.0,498.0,14.0,1,1,26,2127.68,0
0,43,1,15745,192.0,165.0,36.0,1,1,28,1459.665,0
0,43,2,6760,96.0,201.0,32.0,1,1,25,1078.24,0
0,43,0,1135,24.0,15.0,17.0,1,1,20,119.655,0
0,44,0,970,24.0,28.0,14.0,1,1,18,151.76,0
0,43,0,260,10.0,15.0,6.0,1,1,22,79.65,1
0,43,1,7768,137.0,399.0,49.0,1,1,28,1912.2,0
0,43,2,11725,164.0,26.0,53.0,1,1,19,362.225,0
0,43,2,6978,85.0,123.0,43.0,1,1,19,871.335,0
1,39,0,1215,57.0,31.0,23.0,1,1,28,174.88,1
0,42,9,10695,103.0,16.0,48.0,2,1,21,185.97,0
0,42,2,6078,108.0,41.0,30.0,1,1,26,462.87,0
0,40,1,3100,32.0,15.0,20.0,1,1,28,185.28,0
1,41,0,3250,51.0,24.0,22.0,1,1,20,228.04,1
1,42,0,2528,54.0,49.0,37.0,1,1,20,187.05,1
0,42,0,393,12.0,15.0,8.0,1,1,27,76.2,1
0,42,1,1928,35.0,15.0,12.0,1,1,20,86.575,0
0,39,2,7045,107.0,29.0,28.0,1,1,26,150.78,0
0,42,0,888,17.0,24.0,10.0,1,1,18,82.625,1
0,42,2,0,14.0,19.0,8.0,1,1,26,37.68,0
1,37,4,16335,248.0,15.0,86.0,1,1,20,813.735,0
1,40,4,7225,126.0,286.0,39.0,2,1,20,1438.04,0
0,42,1,3978,92.0,17.0,34.0,1,1,26,230.8,0
0,41,0,1925,54.0,53.0,26.0,1,1,23,291.16,0
0,42,1,3040,63.0,190.0,29.0,1,1,23,994.635,0
0,33,2,1575,46.0,208.0,17.0,2,1,23,896.84,0
0,32,1,1828,49.0,45.0,74.0,1,1,27,95.655,0
0,33,0,960,35.0,25.0,13.0,1,1,17,139.8,0
0,32,0,1085,20.0,36.0,9.0,1,1,25,117.625,0
0,31,1,1485,42.0,34.0,19.0,1,1,27,221.715,0
0,31,1,3485,71.0,23.0,29.0,1,1,28,234.24,0
0,24,1,1955,36.0,43.0,20.0,1,1,21,251.64,0
0,23,2,6653,151.0,100.0,48.0,2,1,24,756.18,0
0,21,1,9193,181.0,88.0,46.0,1,1,18,272.61,0
0,22,4,3113,55.0,46.0,25.0,1,1,27,310.72,0
0,15,2,4650,50.0,230.0,16.0,1,1,20,1108.0,0
1,15,2,1748,29.0,15.0,13.0,1,1,28,131.08,1
0,32,0,4110,61.0,0.0,11.0,1,1,16,187.695,0
0,33,0,0,0.0,0.0,0.0,1,1,26,0.0,0
0,31,0,2193,50.0,344.0,18.0,1,1,20,1648.935,0
0,32,0,3938,56.0,0.0,29.0,1,1,29,219.67,0
0,32,0,2133,48.0,0.0,27.0,1,1,18,119.955,0
0,32,0,3515,72.0,17.0,22.0,1,1,16,237.915,0
0,32,0,2100,29.0,270.0,12.0,1,1,17,1165.16,0
0,31,1,8855,111.0,129.0,37.0,1,1,23,874.64,0
0,32,0,13513,159.0,0.0,38.0,1,1,23,546.88,0
0,32,0,4255,73.0,0.0,19.0,1,1,26,173.12,0
0,32,0,5658,85.0,0.0,6.0,1,1,25,258.435,0
0,32,0,1978,44.0,0.0,11.0,1,1,23,80.88,0
0,32,2,14880,215.0,39.0,26.0,1,1,19,759.8,0
0,32,0,2835,17.0,468.0,2.0,1,1,27,1986.08,0
0,31,0,15225,172.0,135.0,24.0,1,1,24,1300.365,0
0,31,0,6240,76.0,171.0,20.0,1,1,21,936.64,0
0,31,0,615,4.0,0.0,5.0,1,1,18,27.855,0
0,32,0,450,4.0,0.0,2.0,1,1,29,20.43,0
0,31,0,0,69.49568827850527,0.0,0.0,1,1,16,0.0,1
0,31,0,7248,117.0,369.0,37.0,1,1,24,1991.925,0
0,31,0,11205,144.0,73.26223776223776,41.0,1,1,21,453.96,0
0,31,0,6458,65.0,93.0,31.0,1,1,23,712.035,0
1,27,0,695,37.0,1.0,11.0,1,1,24,37.44,1
0,30,7,10175,83.0,0.0,36.0,1,1,28,256.45,0
1,30,0,5558,88.0,11.0,18.0,1,1,23,303.57,1
0,28,0,2580,12.0,0.0,8.0,1,1,23,103.68,0
0,29,0,2730,31.0,0.0,10.0,1,1,23,124.245,1
1,30,0,2008,34.0,19.0,25.0,1,1,18,157.68,1
0,30,0,0,0.0,0.0,0.0,1,1,27,0.0,1
0,30,0,0,0.0,0.0,0.0,1,1,17,0.0,0
0,27,0,6525,87.0,0.0,16.0,1,1,19,165.3,0
1,30,0,0,0.0,0.0,0.0,1,1,29,0.0,1
1,30,0,0,0.0,0.0,0.0,1,1,28,0.0,1
0,25,2,15815,228.0,0.0,74.0,1,1,28,721.935,0
0,28,2,6705,106.0,256.0,27.0,2,1,22,1458.495,0
0,30,0,3458,72.0,0.0,22.0,1,1,20,158.85,0
0,29,0,1405,34.0,23.0,14.0,1,1,19,149.56,0
0,30,0,2520,43.0,160.0,17.0,1,1,25,835.335,0
0,21,0,1055,26.0,178.0,5.0,2,1,28,849.645,0
0,20,0,1308,29.0,15.0,62.0,1,1,21,70.925,0
0,21,0,440,15.0,0.0,1.0,1,1,29,20.475,0
0,20,0,0,0.0,6.0,0.0,1,1,22,15.0,0
0,19,0,965,22.0,4.0,7.0,1,1,17,62.415,0
0,19,0,2965,51.0,0.0,17.0,1,1,18,120.64,0
0,12,0,0,16.0,13.0,8.0,1,1,18,123.795,0
0,11,0,6133,131.0,70.0,36.0,2,1,17,729.52,0
0,9,0,8673,161.0,58.0,34.0,1,1,24,365.85,0
0,10,2,2593,35.0,16.0,13.0,1,1,16,169.12,0
0,3,0,4130,30.0,200.0,4.0,1,1,21,966.4,0
1,3,0,1228,9.0,0.0,1.0,1,1,17,55.665,1
0,41,0,4550,79.0,16.0,22.0,1,1,21,249.16,0
0,42,0,498,13.0,18.0,9.0,1,1,22,103.995,0
0,40,0,2633,68.0,370.0,29.0,1,1,23,1588.04,0
0,41,0,4378,74.0,12.0,40.0,1,1,22,310.86,0
0,41,0,2573,66.0,13.0,38.0,1,1,20,216.645,0
0,41,1,3955,90.0,43.0,33.0,1,1,26,333.8,0
0,41,0,2540,47.0,296.0,23.0,1,1,18,1287.48,0
0,40,2,9295,129.0,155.0,48.0,1,1,17,996.96,0
0,41,0,13953,177.0,11.0,49.0,1,1,25,609.2,0
0,41,1,4695,91.0,13.0,30.0,1,1,35,243.44,0
0,41,0,6098,103.0,18.0,17.0,1,1,27,320.04,0
0,41,0,2418,62.0,19.0,22.0,1,1,23,175.2,0
0,41,3,15320,233.0,65.0,37.0,1,1,24,882.12,0
0,41,1,3275,35.0,494.0,13.0,1,1,17,2108.4,0
0,40,0,15665,190.0,161.0,35.0,1,1,20,1437.975,0
0,40,1,6680,94.0,197.0,31.0,1,1,22,1058.96,0
0,40,0,1055,22.0,11.0,16.0,1,1,18,97.965,0
0,41,0,890,22.0,24.0,13.0,1,1,29,132.48,0
0,40,0,180,8.0,11.0,5.0,1,1,26,57.96,1
0,40,0,7688,135.0,395.0,48.0,1,1,28,2129.535,0
0,40,1,11645,162.0,22.0,52.0,1,1,20,350.175,0
0,40,1,6898,83.0,119.0,42.0,1,1,27,849.645,0
1,36,0,1135,55.0,27.0,22.0,1,1,17,175.05,1
0,39,8,10615,101.0,12.0,47.0,1,1,23,178.74,0
0,39,1,5998,106.0,37.0,29.0,1,1,24,441.18,0
0,37,0,3020,30.0,11.0,19.0,1,1,19,166.0,0
1,38,0,3170,49.0,20.0,21.0,1,1,27,208.76,1
1,39,0,2448,52.0,45.0,36.0,1,1,21,280.0,1
1,39,0,313,10.0,11.0,7.0,1,1,18,56.92,1
0,39,0,1848,33.0,11.0,11.0,1,1,21,119.24,0
0,36,1,6965,105.0,25.0,27.0,1,1,29,143.55,0
0,39,0,808,15.0,20.0,9.0,1,1,23,70.575,1
0,39,1,518,12.0,15.0,7.0,1,1,18,30.45,0
1,34,3,16255,246.0,11.0,85.0,1,1,20,792.045,0
0,37,3,7145,124.0,282.0,38.0,2,1,28,1596.105,0
0,39,0,3898,90.0,13.0,33.0,1,1,21,237.96,0
0,38,0,1845,52.0,49.0,25.0,1,1,18,271.88,0
0,39,0,2960,61.0,186.0,28.0,1,1,28,972.945,0
1,30,1,1495,44.0,204.0,16.0,2,1,22,987.255,1
0,29,0,1748,47.0,41.0,73.0,1,1,29,147.375,0
0,30,0,880,33.0,21.0,12.0,1,1,23,135.585,0
0,29,0,1005,18.0,32.0,8.0,1,1,16,105.575,0
0,28,0,1405,40.0,30.0,18.0,1,1,29,200.025,0
0,28,0,0,69.0,19.0,28.0,1,1,23,214.96,0
0,21,0,1875,34.0,39.0,19.0,1,1,28,261.405,0
0,20,1,6573,149.0,96.0,47.0,2,1,19,734.49,0
0,18,0,9113,179.0,84.0,45.0,1,1,24,442.3,0
0,19,3,3033,53.0,42.0,24.0,1,1,23,291.44,0
0,12,1,4570,48.0,226.0,15.0,1,1,16,1088.72,0
0,12,1,1668,27.0,11.0,12.0,1,1,21,111.8,1
0,35,0,4190,63.0,0.0,12.0,1,1,16,170.12,0
0,36,0,0,0.0,0.0,0.0,1,1,29,0.0,0
0,34,0,2273,52.0,348.0,19.0,1,1,27,1485.0,0
0,35,0,4018,58.0,0.0,30.0,1,1,27,224.18,0
0,35,0,2213,50.0,0.0,28.0,1,1,16,124.465,0
0,35,1,3595,74.0,21.0,23.0,1,1,24,230.76,0
0,35,0,2180,31.0,274.0,13.0,1,1,29,1184.44,0
0,34,2,8935,113.0,133.0,38.0,1,1,24,893.92,0
0,35,0,13593,161.0,0.0,39.0,1,1,23,550.16,0
0,35,1,4335,75.0,0.0,20.0,1,1,16,176.4,0
0,35,0,5738,87.0,0.0,7.0,1,1,25,233.0,0
0,35,0,2058,46.0,0.0,12.0,1,1,19,84.16,0
0,35,3,14960,217.0,43.0,27.0,1,1,20,779.08,0
0,35,1,2915,19.0,472.0,3.0,1,1,25,2005.36,0
0,34,0,15305,174.0,139.0,25.0,1,1,18,1322.055,0
0,34,1,6320,78.0,175.0,21.0,1,1,20,955.92,0
0,34,0,695,6.0,0.0,6.0,1,1,29,31.545,0
0,35,0,530,6.0,2.0,3.0,1,1,16,29.44,0
1,34,0,0,69.49568827850527,0.0,0.0,1,1,17,0.0,1
